"New Contractor Licenses - File created: Nov 28, 2018 - 1618 Records"
"License No","Business Name","Doing Business As","Address","Address 2","City","State","Zip","Qualifying Party","Class","Class Detail","Issued Date","Expiration Date","Status"
"318018","Quality Paint & Restoration LLC"," ","5836 W Wethersfield Dr"," ","Glendale","AZ","85304","Douglas Edward Shobe","CR-61","","2018-08-03","2020-08-31","Active"
"319333","Robert's Refinishing LLC"," ","7210 E Woodchute Trl"," ","Prescott Valley","AZ","86315","Daniel Garcia Hubbard Jr","CR-34","","2018-06-18","2020-06-30","Active"
"319380","Jack Lloyd Bailey"," JL Bailey Flooring","4328 W Crittenden Ln"," ","Phoenix","AZ","85031","Jack Lloyd Bailey","CR-8","","2018-05-30","2020-05-31","Active"
"319424","Rio Verde Electric LLC"," ","26905 N 161st St"," ","Scottsdale","AZ","85262","Thomas Harold Halik","CR-11","","2018-06-27","2020-06-30","Active"
"319690","Marrs Construction Inc"," ","4727 E Bell Rd Ste 45374"," ","Phoenix","AZ","85032","Michael Benton Pyeatt","KA","","2018-05-29","2020-05-31","Active"
"319762","Micki Davida Fournier","Fournier Pump Service , Fournier Pump Service","5664 E Reynolds Rd"," ","Florence","AZ","85132","David Michael Dungan","R-53","","2018-05-29","2020-05-31","Active"
"319825","Justin Carey Enterprises Inc","Extreme Industrial Coatings , Extreme Industrial Coatings","703 N Abby St"," ","Fresno","CA","93701","Justin Thomas Carey","CR-34","","2018-05-30","2020-05-31","Active"
"319828","Hacienda Flooring LLC"," ","207 W Clarendon Ave Unit 16E"," ","Phoenix","AZ","85013","Gerard Ralph Nanna","CR-8","","2018-05-30","2020-05-31","Active"
"319853","Drill Rite Directional Drilling LLC"," ","PO Box 450"," ","Payson","UT","84651","John Thomas Fletcher","A-5","","2018-05-31","2020-05-31","Active"
"319856","BrandSafway Solutions LLC"," ","201 Estes Dr"," ","Longview","TX","75602","Paul Bernard Guadagnin","CR-40","","2018-06-04","2020-06-30","Active"
"319866","Browner Building and Design LLC"," ","2432 W Peoria Ave Ste 1075"," ","Phoenix","AZ","85029","Michael Rock Matson","B","","2018-05-30","2020-05-31","Active"
"319867","AZ Insulation & Energy Solutions LLC"," Tru-Lite","7829 E Plata Ave"," ","Mesa","AZ","85212","Joseph Lawrence Papa","KB-2","","2018-05-29","2020-05-31","Active"
"319868","Heptagon Seven Consulting LLC"," ","515 E Carefree Hwy, #78"," ","Phoenix","AZ","85085","Lloyd William Beaman","A","","2018-05-29","2020-05-31","Active"
"319869","Heptagon Seven Consulting LLC"," ","515 E Carefree Hwy, #78"," ","Phoenix","AZ","85085","Lloyd William Beaman","B","","2018-05-29","2020-05-31","Active"
"319870","Heptagon Seven Consulting LLC"," ","515 E Carefree Hwy, #78"," ","Phoenix","AZ","85085","Lloyd William Beaman","B-1","","2018-05-29","2020-05-31","Active"
"319877","Day & Zimmerman N P S Inc"," ","1827 Freedom Rd # 101"," ","Lancaster","PA","17601","Timothy John Lofthouse","A","","2018-05-31","2020-05-31","Active"
"319880","Olno LLC","Outdoorscapes Design , Outdoorscapes Design","4600 E Washington St Ste 300"," ","Phoenix","AZ","85034","Odin Asael Ortega","CR-21","","2018-05-30","2020-05-31","Active"
"319894","Horizontal Boring LLC"," ","3550 W Elliot Rd"," ","Laveen","AZ","85339","Christopher James Romero","KA","","2018-05-29","2020-05-31","Active"
"319914","Hilltop Construction LLC"," ","849 S Moonlight Dr,, #Unit B"," ","Payson","AZ","85541","Jason Duran Jordan","R-7","","2018-06-01","2020-06-30","Active"
"319918","Epic Painting And Handyman Service LLC"," ","430 Lake Havasu N #3"," ","Lake Havasu City","AZ","86403","Walter K Baumgart","CR-34","","2018-05-30","2020-05-31","Active"
"319920","Canyon Construction LLC"," ","PO Box 95"," ","Coolidge","AZ","85128","Brian D Kelley","KB-2","","2018-05-30","2020-05-31","Active"
