"Pending Contractor License Applications - File created: Nov 28, 2018 - 158 Records"
"Business Name","Doing Business As","Address","Address 2","City","State","Zip","Receipt Number","Class","Application Date","Qualifying Party","Officers"
"2C's Cooling & Heating LLC","","710 N Ironwood Dr","","Apache Junction","AZ","85120","APP-009083783","Specialty Dual / CR-39 Air Conditioning&Refrigeration","2018-11-07","Marco Antonio Carvalho","Marco Carvalho, Randy Craven"
"4 S Development Inc","Lone Mountain Homes","6499 S Kings Ranch Rd Ste 6 PMB90","","Gold Canyon","AZ","85118","APP-009083786","General Residential / B General Residential Contractor","2018-11-07","Kevin Michael Smith","Kevin Smith"
"A/C Valley LLC","","216 W Princeton Ave","","Gilbert","AZ","85233","APP-009084696","Specialty Dual / CR-39 Air Conditioning&Refrigeration","2018-11-15","Luis Angel Palomino","Luis Palomino, Lydia Palomino"
"ABCO Air Conditioning Service Inc","","2100 N Wilomot #211","","Tucson","AZ","85712","APP-009085675","Specialty Dual / CR-39 Air Conditioning&Refrigeration","2018-11-27","Frederick Edmond Donze","Charles O'Dowd"
"Abel's Excavation Services LLC","","5738 W Pierson St","","Phoenix","AZ","85031","APP-009084434","Specialty Dual / CR-2 Excavating Grading and Oil Surfacing","2018-11-14","Yanira Garcia","Yanira Garcia, Abel Garcia Montoya"
"Accuworx West LLC","","17011 Beach Blvd Suite 810","","Huntington Beach","CA","92647","APP-009084144","General Commercial / A General Engineering","2018-11-09","Dale Norman Strieter","Steve Isgro, Jason Rosset, Michael Rudley, Thomas Scranton, Accuworx Holdings Inc"
"Ace Plumbing LLC","","1111 Zircon Ave","","Bullhead City","AZ","86442","APP-009085538","Specialty Commercial / C-37 Plumbing","2018-11-23","Paull Wayne Proctor","Paull Proctor, Ashley Gerich"
"Allied Products LLC","","PO Box 1431","","Sherwood","OR","97140","APP-009083755","Specialty Dual / CR-7 Carpentry","2018-11-07","John Joseph Gearhart","John Gearhart"
"Anderson Cabinet Refinishing LLC","","PO Box 72832","","Phoenix","AZ","85052","APP-009084402","Specialty Dual / CR-34 Painting and Wall Covering","2018-11-14","Martin Victor Anderson","Martin Anderson"
"Angelina Construction LLC","","9414 E San Salvador #229","","Scottsdale","AZ","85258","APP-009084688","General Residential / B General Residential Contractor","2018-11-15","Angela J Johnson","Angela Johnson"
"Anthony John Villasenor","Anthony John Masonry","713 S Kofa Ave","","Parker","AZ","85344","APP-009084583","Specialty Commercial / C-31 Masonry","2018-11-14","Anthony John Villasenor","Anthony Villasenor"
"ARIZONA STEEL & FABRICATION LLC","","144 N 22nd Ave","","Yuma","AZ","85364","APP-009083776","Specialty Dual / CR-17 Steel and Aluminum Erection","2018-11-07","Dominic Edward Robinson","Dominic Robinson"
"Arning Companies, INC.","","","","","","","APP-009085523","Specialty Commercial / C-3 Awnings, Canopies, Carports and Patio Covers","2018-11-23","Gerald Cleve Mann","Randy Stockton"
"Ascend Construction LLC","","32405 N 40th St","","Cave Creek","AZ","85331","APP-009084334","General Dual / KB-2 Dual Residential and Small Commercial","2018-11-13","Keith Alan Hillukka","Keith Hillukka"
"AVAdek Inc","","12130 Galveston Rd, Bldg 1","","Webster","TX","77598","APP-009085192","Specialty Commercial / C-3 Awnings, Canopies, Carports and Patio Covers","2018-11-20","Bradley Vernon Luebe","Tyson Barrow, Joanna Luebe, Bradley Luebe, Matthew Luebe, Randy Setzer"
"AW Turf LLC","","51 W Glenn St","","Tucson","AZ","85705","APP-009085717","Specialty Dual / CR-21 Hardscaping and Irrigation Systems","2018-11-27","Daniel Lee Bradshaw","Gloria Cisneros"
"Az Century Deck Inc","","6811 S 68th Dr","","Laveen","AZ","85339","APP-009085323","General Dual / KA-5 Dual Swimming Pool Contractor","2018-11-21","Ezequiel Moreno Tellez","Ezequiel Tellez"
"AZ Curb Striping & Sealcoat Inc","","3116 W Hayward Ave","","Phoenix","AZ","85051-6545","APP-009084058","General Commercial / A-15 Seal Coating","2018-11-09","Gerardo A Estrada Castro","Gerardo Estrada Castro"
