"Current Active Residential Contractors - File created: Nov 28, 2018 - 8380 Records"
"License No","Business Name","Doing Business As","Address","Address 2","City","State","Zip","Qualifying Party","Class","Class Detail","Class Type","Issued Date","Expiration Date","Status"
"245090","$99 Home Improvements LLC"," ","6252 W Cochise Dr"," ","Glendale","AZ","85302","Michael Lloyd Van Winkle","R-62","R-62 Minor Home Improvements","Residential","2008-05-16","2020-05-31","Current"
"293292","1 2 3 Flooring Inc"," 1 2 3 Flooring and Construction, 1 2 3 Electrical, 1 2 3 Plumbing","1024 W Starward Ct"," ","Gilbert","AZ","85233","Kamran Afshari","B-3","B-3 General Remodeling and Repair Contractor","Residential","2014-06-28","2020-06-30","Current"
"261156","1 M D Inc"," ","72 N Ten Pond Pl"," ","Sierra Vista","AZ","85635","Velentin Miranda Castro","R-11","R-11 Electrical","Residential","2009-12-10","2019-12-31","Current"
"315779","101 Construct LLC"," ","5225 N 19th Ave Ste G"," ","Phoenix","AZ","85015","Robert Carl Wurm","B-3","B-3 General Remodeling and Repair Contractor","Residential","2017-09-27","2019-09-30","Current"
"314143","11 Mile Builders LLC"," ","17507 E Yamu Kiva Cir"," ","Fountain Hills","AZ","85268","Toby John Jedlicki","B","B General Residential Contractor","Residential","2017-06-30","2019-06-30","Current"
"164946","180 Degrees Inc"," ","4955 N 7th Ave"," ","Phoenix","AZ","85013","James Trahan","B","B General Residential Contractor","Residential","2001-05-09","2019-05-31","Current"
"286932","1912 Industries LLC","1912 Build Co , 1912 Build Co","1747 E Northern Ave Unit 269"," ","Phoenix","AZ","85020","Benjamin Trevor Kirksey","B","B General Residential Contractor","Residential","2013-10-09","2019-10-31","Current"
"156757","1960 Construction Inc"," ","PO Box 1159"," ","Apache Junction","AZ","85117","John Elliott Linendoll","B","B General Residential Contractor","Residential","2000-07-24","2020-07-31","Current"
"321717","1Handy4You Home Repair LLC"," ","2267 N Appaloosa Pl"," ","Huachuca City","AZ","85616","Brian Duane Smeal","B-3","B-3 General Remodeling and Repair Contractor","Residential","2018-08-31","2020-08-31","Current"
"206058","1st Airco Heating and Cooling LLC"," ","20403 N Lake Pleasant Rd Ste # 117-170"," ","Peoria","AZ","85382","Trevor Dean Kear","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2005-04-04","2019-04-30","Current"
